58 20
p90 -0.310644 0.09796154 0.27486607 -0.15239677 0.4341846 0.45784566 -0.27521172 0.30269453 -0.31204787 -0.5167989 0.354391 -0.04322423 -0.24018319 0.75641835 -0.29094306 1.1312691 -0.012954685 0.79561424 -0.6155663 1.3926461
p869 0.69094914 0.035835315 -0.31079298 0.019315522 -0.8860591 0.26794404 0.22274972 -0.25601682 -0.12268312 -0.88512087 -0.005289674 0.3686893 0.098732755 -0.2986724 0.43514305 1.1798235 0.06399255 1.0563312 -0.63173336 1.1445423
p368 -0.72489023 0.021130558 0.37027234 0.5701567 -0.67917633 -0.80424875 0.58617336 0.38303855 0.1601715 -0.52244484 1.0892531 0.5743025 -0.12486704 0.2007906 0.17429344 0.630827 0.0764336 1.0356389 -0.70075583 0.96481204
p521 0.15169041 0.016747627 0.47138214 -0.41667876 0.119115114 -0.70848334 -0.67152506 0.83808064 0.26776752 -0.5742185 0.16425979 0.22074589 0.82213116 -0.4794259 0.27169335 0.70542395 1.0286138 1.0893865 -0.60990435 1.1891007
p1194 0.28927675 0.38456514 0.6791696 0.403604 -0.29878172 -0.048513003 0.18069072 0.48730165 0.40201956 -0.11309084 -0.44802746 1.3995389 1.0962 0.89934 -0.2777216 1.2551614 -0.008852381 0.9212985 -1.5737498 0.6278949
p1218 -0.12571779 0.75655067 1.6109666 -0.75565004 -1.0223812 0.30906427 -0.521354 -0.43691894 0.14197092 -0.5690775 0.5984551 0.4409442 0.2391156 0.21325319 -0.14496076 0.7494565 0.089162566 1.7456475 -0.3514542 0.48073593
p1313 -0.061260127 0.44118193 1.8737009 -0.11797308 -0.97093505 0.38586423 0.15949157 -0.4195731 0.6290022 0.7173834 0.28038797 -0.18987751 0.35398117 0.075508155 0.67781806 1.2841458 0.43362194 0.5722785 -0.21809037 1.4409213
p1315 -0.7973577 1.0646703 0.07100784 0.059127916 -0.24771534 0.20540813 -0.027000757 -0.5623136 1.2776229 0.43809256 -0.05119831 0.30194056 0.22537097 0.13847311 0.8845968 1.1602197 0.6536646 0.90687877 -0.5419194 1.6400748
p989 0.77599627 0.23056489 -0.32191873 0.022446156 -0.8617214 0.31237262 0.20114076 -0.22675234 -0.13858211 -0.93419474 0.23661752 0.19116138 0.21693423 -0.19216718 0.5870289 1.1052027 0.05512852 0.9510203 -0.86617386 1.0625577
p503 -0.8383883 -0.028386988 0.3482159 0.4430379 -0.7313485 -0.84627366 0.6581608 0.26275852 0.1481613 -0.63570267 0.9919367 0.60305834 0.004619764 0.18242341 -0.04527154 0.71408486 0.13810861 0.9366945 -0.58037233 1.0238
p473 -0.8465076 0.087562986 0.36760825 0.39178652 -0.7982151 -0.8088798 0.59590155 0.56060827 0.1599694 -0.60643774 0.9616944 0.61323375 -0.025511855 0.12824237 0.14924991 0.7053845 -0.09706913 0.9217864 -0.5846228 1.0111867
p513 -0.84789366 0.041256536 0.34420064 0.37531695 -0.8121055 -0.7050576 0.7364719 0.52783626 0.101490274 -0.6042333 1.0273547 0.49957636 -0.022604646 0.2675821 0.15140995 0.66282594 0.20546202 0.9470381 -0.73321027 0.885295
